Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),1_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE2:Zone Air Temperature [C](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly) 
 01/02  15:00:00,15.033333333333334,22.000652608694428,22.000419835393417,22.00025594384262,2.535020555356639,0.25,2.613430179118039,0.25,2.5560167122692989,0.25 
 01/02  16:00:00,15.141666666666666,22.000643036945396,22.00046384563579,22.000371666343296,2.5389803255466796,0.25,2.6253556742365764,0.25,2.585153170628795,0.25 
 01/02  17:00:00,14.924999999999999,22.000765114926357,22.000512824948556,22.000487221241206,2.534126019598503,0.25,2.6208244344282778,0.25,2.598362458690617,0.25 
 01/02  18:00:00,14.508333333333335,22.00204795739295,22.000859669684855,22.000760811076316,2.5827463956500789,0.25,2.6491036279592126,0.25,2.6316939963732675,0.25 
 01/02  19:00:00,13.891666666666666,22.002684644523908,22.001067951594178,22.000928059625399,2.585439388844927,0.25,2.6368542412243998,0.25,2.624804537420907,0.25 
 01/02  20:00:00,13.133333333333333,22.002775134815665,22.00115762095837,22.001003646562127,2.5635715712582378,0.25,2.6004725761221847,0.25,2.5948104341128794,0.25 
 01/02  21:00:00,12.216666666666669,22.002759218254068,22.001236075197949,22.001066947850395,2.525999847089482,0.25,2.5503949568431656,0.25,2.550995326114119,0.25 
 01/02  22:00:00,11.158333333333332,22.002704467173417,22.00132105316402,22.00113297237425,2.477028614261626,0.25,2.4918362977975589,0.25,2.4988673208921416,0.25 
 01/02  23:00:00,10.058333333333334,15.682865933904234,17.654761937449938,17.484910992323653,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  24:00:00,8.9,13.341786451410537,14.356267930915246,14.363136373506757,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  01:00:00,7.758333333333333,11.411368929857679,12.964688758661298,12.897006165423429,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  02:00:00,6.658333333333334,9.807672651810022,11.938535972508492,11.770319570851788,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  03:00:00,5.675000000000001,8.444190669208302,11.21081521317497,10.955127980541099,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  04:00:00,4.7749999999999999,7.271707157104319,10.613760263787837,10.289207630077465,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  05:00:00,3.991666666666667,6.1594147901638609,10.062303883392718,9.669147999729065,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  06:00:00,3.4083333333333338,5.200876176442239,9.614898710109286,9.16779797063321,0.0,0.0,0.0,0.0,0.0,0.0 
